name_iana,name_open_ssl,safe
tls_srp_sha_with_aes_256_cbc_sha,srp-aes-256-cbc-sha,no
tls_srp_sha_with_aes_128_cbc_sha,srp-aes-128-cbc-sha,no
tls_srp_sha_with_3des_ede_cbc_sha,srp-3des-ede-cbc-sha,no
tls_srp_sha_rsa_with_aes_256_cbc_sha,srp-rsa-aes-256-cbc-sha,no
tls_srp_sha_rsa_with_aes_128_cbc_sha,srp-rsa-aes-128-cbc-sha,no
tls_srp_sha_rsa_with_3des_ede_cbc_sha,srp-rsa-3des-ede-cbc-sha,no
tls_srp_sha_dss_with_aes_256_cbc_sha,srp-dss-aes-256-cbc-sha,no
tls_srp_sha_dss_with_aes_128_cbc_sha,srp-dss-aes-128-cbc-sha,no
tls_srp_sha_dss_with_3des_ede_cbc_sha,srp-dss-3des-ede-cbc-sha,no
tls_rsa_with_seed_cbc_sha,seed-sha,yes
tls_rsa_with_rc4_128_sha,rc4-sha,no
tls_rsa_with_rc4_128_md5,rc4-md5,no
tls_rsa_with_null_sha256,null-sha256,no
tls_rsa_with_null_sha,null-sha,no
tls_rsa_with_null_md5,null-md5,no
tls_rsa_with_idea_cbc_sha,idea-cbc-sha,no
tls_rsa_with_des_cbc_sha,des-cbc-sha,no
tls_rsa_with_camellia_256_gcm_sha384,,no
tls_rsa_with_camellia_256_cbc_sha256,,no
tls_rsa_with_camellia_256_cbc_sha,camellia256-sha,no
tls_rsa_with_camellia_128_gcm_sha256,,no
tls_rsa_with_camellia_128_cbc_sha256,camellia128-sha256,no
tls_rsa_with_camellia_128_cbc_sha,camellia128-sha,no
tls_rsa_with_aria_256_gcm_sha384,,no
tls_rsa_with_aria_256_cbc_sha384,,no
tls_rsa_with_aria_128_gcm_sha256,,no
tls_rsa_with_aria_128_cbc_sha256,,no
tls_rsa_with_aes_256_gcm_sha384,aes256-gcm-sha384,no
tls_rsa_with_aes_256_ccm_8,aes256-ccm8,no
tls_rsa_with_aes_256_ccm,aes256-ccm,no
tls_rsa_with_aes_256_cbc_sha256,aes256-sha256,no
tls_rsa_with_aes_256_cbc_sha,aes256-sha,no
tls_rsa_with_aes_128_gcm_sha256,aes128-gcm-sha256,no
tls_rsa_with_aes_128_ccm_8,aes128-ccm8,no
tls_rsa_with_aes_128_ccm,aes128-ccm,no
tls_rsa_with_aes_128_cbc_sha256,aes128-sha256,no
tls_rsa_with_aes_128_cbc_sha,aes128-sha,no
tls_rsa_with_3des_ede_cbc_sha,des-cbc3-sha,no
tls_rsa_psk_with_rc4_128_sha,,no
tls_rsa_psk_with_null_sha384,,no
tls_rsa_psk_with_null_sha256,,no
tls_rsa_psk_with_null_sha,rsa-psk-null-sha,no
tls_rsa_psk_with_chacha20_poly1305_sha256,,no
tls_rsa_psk_with_camellia_256_gcm_sha384,,no
tls_rsa_psk_with_camellia_256_cbc_sha384,rsa-psk-camellia256-sha384,no
tls_rsa_psk_with_camellia_128_gcm_sha256,,no
tls_rsa_psk_with_camellia_128_cbc_sha256,rsa-psk-camellia128-sha256,no
tls_rsa_psk_with_aria_256_gcm_sha384,,no
tls_rsa_psk_with_aria_256_cbc_sha384,,no
tls_rsa_psk_with_aria_128_gcm_sha256,,no
tls_rsa_psk_with_aria_128_cbc_sha256,,no
tls_rsa_psk_with_aes_256_gcm_sha384,,no
tls_rsa_psk_with_aes_256_cbc_sha384,,no
tls_rsa_psk_with_aes_256_cbc_sha,,no
tls_rsa_psk_with_aes_128_gcm_sha256,,no
tls_rsa_psk_with_aes_128_cbc_sha256,,no
tls_rsa_psk_with_aes_128_cbc_sha,,no
tls_rsa_psk_with_3des_ede_cbc_sha,,no
tls_rsa_export_with_rc4_40_md5,exp-rc4-md5,no
tls_rsa_export_with_rc2_cbc_40_md5,exp-rc2-cbc-md5,no
tls_rsa_export_with_des40_cbc_sha,exp-des-cbc-sha,no
tls_psk_with_rc4_128_sha,psk-rc4-sha,no
tls_psk_with_null_sha384,,no
tls_psk_with_null_sha256,,no
tls_psk_with_null_sha,psk-null-sha,no
tls_psk_with_chacha20_poly1305_sha256,,no
tls_psk_with_camellia_256_gcm_sha384,,no
tls_psk_with_camellia_256_cbc_sha384,psk-camellia256-sha384,no
tls_psk_with_camellia_128_gcm_sha256,,no
tls_psk_with_camellia_128_cbc_sha256,psk-camellia128-sha256,no
tls_psk_with_aria_256_gcm_sha384,,no
tls_psk_with_aria_256_cbc_sha384,,no
tls_psk_with_aria_128_gcm_sha256,,no
tls_psk_with_aria_128_cbc_sha256,,no
tls_psk_with_aes_256_gcm_sha384,,no
tls_psk_with_aes_256_ccm_8,psk-aes256-ccm8,no
tls_psk_with_aes_256_ccm,psk-aes256-ccm,no
tls_psk_with_aes_256_cbc_sha384,,no
tls_psk_with_aes_256_cbc_sha,psk-aes256-cbc-sha,no
tls_psk_with_aes_128_gcm_sha256,,no
tls_psk_with_aes_128_ccm_8,psk-aes128-ccm8,no
tls_psk_with_aes_128_ccm,psk-aes128-ccm,no
tls_psk_with_aes_128_cbc_sha256,,no
tls_psk_with_aes_128_cbc_sha,psk-aes128-cbc-sha,no
tls_psk_with_3des_ede_cbc_sha,psk-3des-ede-cbc-sha,no
tls_psk_dhe_with_aes_256_ccm_8,dhe-psk-aes256-ccm8,yes
tls_psk_dhe_with_aes_128_ccm_8,dhe-psk-aes128-ccm8,yes
tls_null_with_null_null,,no
tls_krb5_with_rc4_128_sha,krb5-rc4-sha,no
tls_krb5_with_rc4_128_md5,krb5-rc4-md5,no
tls_krb5_with_idea_cbc_sha,krb5-idea-cbc-sha,no
tls_krb5_with_idea_cbc_md5,krb5-idea-cbc-md5,no
tls_krb5_with_des_cbc_sha,krb5-des-cbc-sha,no
tls_krb5_with_des_cbc_md5,krb5-des-cbc-md5,no
tls_krb5_with_3des_ede_cbc_sha,krb5-des-cbc3-sha,no
tls_krb5_with_3des_ede_cbc_md5,krb5-des-cbc3-md5,no
tls_krb5_export_with_rc4_40_sha,exp-krb5-rc4-sha,no
tls_krb5_export_with_rc4_40_md5,exp-krb5-rc4-md5,no
tls_krb5_export_with_rc2_cbc_40_sha,exp-krb5-rc2-cbc-sha,no
tls_krb5_export_with_rc2_cbc_40_md5,exp-krb5-rc2-cbc-md5,no
tls_krb5_export_with_des_cbc_40_sha,exp-krb5-des-cbc-sha,no
tls_krb5_export_with_des_cbc_40_md5,exp-krb5-des-cbc-md5,no
tls_ecdh_rsa_with_rc4_128_sha,ecdh-rsa-rc4-sha,no
tls_ecdh_rsa_with_null_sha,ecdh-rsa-null-sha,no
tls_ecdh_rsa_with_camellia_256_gcm_sha384,,no
tls_ecdh_rsa_with_camellia_256_cbc_sha384,ecdh-rsa-camellia256-sha384,no
tls_ecdh_rsa_with_camellia_128_gcm_sha256,,no
tls_ecdh_rsa_with_camellia_128_cbc_sha256,ecdh-rsa-camellia128-sha256,no
tls_ecdh_rsa_with_aria_256_gcm_sha384,,no
tls_ecdh_rsa_with_aria_256_cbc_sha384,,no
tls_ecdh_rsa_with_aria_128_gcm_sha256,,no
tls_ecdh_rsa_with_aria_128_cbc_sha256,,no
tls_ecdh_rsa_with_aes_256_gcm_sha384,ecdh-rsa-aes256-gcm-sha384,no
tls_ecdh_rsa_with_aes_256_cbc_sha384,ecdh-rsa-aes256-sha384,no
tls_ecdh_rsa_with_aes_256_cbc_sha,ecdh-rsa-aes256-sha,no
tls_ecdh_rsa_with_aes_128_gcm_sha256,ecdh-rsa-aes128-gcm-sha256,no
tls_ecdh_rsa_with_aes_128_cbc_sha256,ecdh-rsa-aes128-sha256,no
tls_ecdh_rsa_with_aes_128_cbc_sha,ecdh-rsa-aes128-sha,no
tls_ecdh_rsa_with_3des_ede_cbc_sha,ecdh-rsa-des-cbc3-sha,no
tls_ecdhe_rsa_with_rc4_128_sha,ecdhe-rsa-rc4-sha,no
tls_ecdhe_rsa_with_null_sha,ecdhe-rsa-null-sha,no
tls_ecdhe_rsa_with_chacha20_poly1305_sha256,,yes
tls_ecdhe_rsa_with_camellia_256_gcm_sha384,,yes
tls_ecdhe_rsa_with_camellia_256_cbc_sha384,ecdhe-rsa-camellia256-sha384,no
tls_ecdhe_rsa_with_camellia_128_gcm_sha256,,yes
tls_ecdhe_rsa_with_camellia_128_cbc_sha256,ecdhe-rsa-camellia128-sha256,no
tls_ecdhe_rsa_with_aria_256_gcm_sha384,,yes
tls_ecdhe_rsa_with_aria_256_cbc_sha384,,no
tls_ecdhe_rsa_with_aria_128_gcm_sha256,,yes
tls_ecdhe_rsa_with_aria_128_cbc_sha256,,no
tls_ecdhe_rsa_with_aes_256_gcm_sha384,ecdhe-rsa-aes256-gcm-sha384,yes
tls_ecdhe_rsa_with_aes_256_cbc_sha384,ecdhe-rsa-aes256-sha384,no
tls_ecdhe_rsa_with_aes_256_cbc_sha,ecdhe-rsa-aes256-sha,no
tls_ecdhe_rsa_with_aes_128_gcm_sha256,ecdhe-rsa-aes128-gcm-sha256,yes
tls_ecdhe_rsa_with_aes_128_cbc_sha256,ecdhe-rsa-aes128-sha256,no
tls_ecdhe_rsa_with_aes_128_cbc_sha,ecdhe-rsa-aes128-sha,no
tls_ecdhe_rsa_with_3des_ede_cbc_sha,ecdhe-rsa-des-cbc3-sha,no
tls_ecdhe_psk_with_rc4_128_sha,ecdhe-psk-rc4-sha,no
tls_ecdhe_psk_with_null_sha384,ecdhe-psk-null-sha384,no
tls_ecdhe_psk_with_null_sha256,ecdhe-psk-null-sha256,no
tls_ecdhe_psk_with_null_sha,ecdhe-psk-null-sha,no
tls_ecdhe_psk_with_chacha20_poly1305_sha256,,yes
tls_ecdhe_psk_with_camellia_256_cbc_sha384,ecdhe-psk-camellia256-sha38,no
tls_ecdhe_psk_with_camellia_128_cbc_sha256,ecdhe-psk-camellia128-sha25,no
tls_ecdhe_psk_with_aria_256_cbc_sha384,,no
tls_ecdhe_psk_with_aria_128_cbc_sha256,,no
tls_ecdhe_psk_with_aes_256_gcm_sha384,,yes
tls_ecdhe_psk_with_aes_256_cbc_sha384,ecdhe-psk-aes256-cbc-sha384,no
tls_ecdhe_psk_with_aes_256_cbc_sha,ecdhe-psk-aes256-cbc-sha,no
tls_ecdhe_psk_with_aes_128_gcm_sha256,,yes
tls_ecdhe_psk_with_aes_128_ccm_sha256,,yes
tls_ecdhe_psk_with_aes_128_ccm_8_sha256,,yes
tls_ecdhe_psk_with_aes_128_cbc_sha256,ecdhe-psk-aes128-cbc-sha256,no
tls_ecdhe_psk_with_aes_128_cbc_sha,ecdhe-psk-aes128-cbc-sha,no
tls_ecdhe_psk_with_3des_ede_cbc_sha,ecdhe-psk-3des-ede-cbc-sha,no
tls_ecdhe_ecdsa_with_rc4_128_sha,ecdhe-ecdsa-rc4-sha,no
tls_ecdhe_ecdsa_with_null_sha,ecdhe-ecdsa-null-sha,no
tls_ecdhe_ecdsa_with_chacha20_poly1305_sha256,,yes
tls_ecdhe_ecdsa_with_camellia_256_gcm_sha384,,yes
tls_ecdhe_ecdsa_with_camellia_256_cbc_sha384,ecdhe-ecdsa-camellia256-sha38,no
tls_ecdhe_ecdsa_with_camellia_128_gcm_sha256,,yes
tls_ecdhe_ecdsa_with_camellia_128_cbc_sha256,ecdhe-ecdsa-camellia128-sha256,no
tls_ecdhe_ecdsa_with_aria_256_gcm_sha384,,yes
tls_ecdhe_ecdsa_with_aria_256_cbc_sha384,,no
tls_ecdhe_ecdsa_with_aria_128_gcm_sha256,,yes
tls_ecdhe_ecdsa_with_aria_128_cbc_sha256,,no
tls_ecdhe_ecdsa_with_aes_256_gcm_sha384,ecdhe-ecdsa-aes256-gcm-sha384,yes
tls_ecdhe_ecdsa_with_aes_256_ccm_8,ecdhe-ecdsa-aes256-ccm8,yes
tls_ecdhe_ecdsa_with_aes_256_ccm,ecdhe-ecdsa-aes256-ccm,yes
tls_ecdhe_ecdsa_with_aes_256_cbc_sha384,ecdhe-ecdsa-aes256-sha384,no
tls_ecdhe_ecdsa_with_aes_256_cbc_sha,ecdhe-ecdsa-aes256-sha,no
tls_ecdhe_ecdsa_with_aes_128_gcm_sha256,ecdhe-ecdsa-aes128-gcm-sha256,yes
tls_ecdhe_ecdsa_with_aes_128_ccm_8,ecdhe-ecdsa-aes128-ccm8,yes
tls_ecdhe_ecdsa_with_aes_128_ccm,ecdhe-ecdsa-aes128-ccm,yes
tls_ecdhe_ecdsa_with_aes_128_cbc_sha256,ecdhe-ecdsa-aes128-sha256,no
tls_ecdhe_ecdsa_with_aes_128_cbc_sha,ecdhe-ecdsa-aes128-sha,no
tls_ecdhe_ecdsa_with_3des_ede_cbc_sha,ecdhe-ecdsa-des-cbc3-sha,no
tls_ecdh_ecdsa_with_rc4_128_sha,ecdh-ecdsa-rc4-sha,no
tls_ecdh_ecdsa_with_null_sha,ecdh-ecdsa-null-sha,no
tls_ecdh_ecdsa_with_camellia_256_gcm_sha384,,no
tls_ecdh_ecdsa_with_camellia_256_cbc_sha384,ecdh-ecdsa-camellia256-sha384,no
tls_ecdh_ecdsa_with_camellia_128_gcm_sha256,,no
tls_ecdh_ecdsa_with_camellia_128_cbc_sha256,ecdh-ecdsa-camellia128-sha256,no
tls_ecdh_ecdsa_with_aria_256_gcm_sha384,,no
tls_ecdh_ecdsa_with_aria_256_cbc_sha384,,no
tls_ecdh_ecdsa_with_aria_128_gcm_sha256,,no
tls_ecdh_ecdsa_with_aria_128_cbc_sha256,,no
tls_ecdh_ecdsa_with_aes_256_gcm_sha384,ecdh-ecdsa-aes256-gcm-sha384,no
tls_ecdh_ecdsa_with_aes_256_cbc_sha384,ecdh-ecdsa-aes256-sha384,no
tls_ecdh_ecdsa_with_aes_256_cbc_sha,ecdh-ecdsa-aes256-sha,no
tls_ecdh_ecdsa_with_aes_128_gcm_sha256,ecdh-ecdsa-aes128-gcm-sha256,no
tls_ecdh_ecdsa_with_aes_128_cbc_sha256,ecdh-ecdsa-aes128-sha256,no
tls_ecdh_ecdsa_with_aes_128_cbc_sha,ecdh-ecdsa-aes128-sha,no
tls_ecdh_ecdsa_with_3des_ede_cbc_sha,ecdh-ecdsa-des-cbc3-sha,no
tls_ecdh_anon_with_rc4_128_sha,aecdh-rc4-sha,no
tls_ecdh_anon_with_null_sha,aecdh-null-sha,no
tls_ecdh_anon_with_aes_256_cbc_sha,aecdh-aes256-sha,no
tls_ecdh_anon_with_aes_128_cbc_sha,aecdh-aes128-sha,no
tls_ecdh_anon_with_3des_ede_cbc_sha,aecdh-des-cbc3-sha,no
tls_eccpwd_with_aes_256_gcm_sha384,,yes
tls_eccpwd_with_aes_256_ccm_sha384,,yes
tls_eccpwd_with_aes_128_gcm_sha256,,yes
tls_eccpwd_with_aes_128_ccm_sha256,,yes
tls_dh_rsa_with_seed_cbc_sha,dh-rsa-seed-sha,no
tls_dh_rsa_with_des_cbc_sha,dh-rsa-des-cbc-sha,no
tls_dh_rsa_with_camellia_256_gcm_sha384,,no
tls_dh_rsa_with_camellia_256_cbc_sha256,,no
tls_dh_rsa_with_camellia_256_cbc_sha,dh-rsa-camellia256-sha,no
tls_dh_rsa_with_camellia_128_gcm_sha256,,no
tls_dh_rsa_with_camellia_128_cbc_sha256,dh-rsa-camellia128-sha256,no
tls_dh_rsa_with_camellia_128_cbc_sha,dh-rsa-camellia128-sha,no
tls_dh_rsa_with_aria_256_gcm_sha384,,no
tls_dh_rsa_with_aria_256_cbc_sha384,,no
tls_dh_rsa_with_aria_128_gcm_sha256,,no
tls_dh_rsa_with_aria_128_cbc_sha256,,no
tls_dh_rsa_with_aes_256_gcm_sha384,dh-rsa-aes256-gcm-sha384,no
tls_dh_rsa_with_aes_256_cbc_sha256,dh-rsa-aes256-sha256,no
tls_dh_rsa_with_aes_256_cbc_sha,dh-rsa-aes256-sha,no
tls_dh_rsa_with_aes_128_gcm_sha256,dh-rsa-aes128-gcm-sha256,no
tls_dh_rsa_with_aes_128_cbc_sha256,dh-rsa-aes128-sha256,no
tls_dh_rsa_with_aes_128_cbc_sha,dh-rsa-aes128-sha,no
tls_dh_rsa_with_3des_ede_cbc_sha,dh-rsa-des-cbc3-sha,no
tls_dh_rsa_export_with_des40_cbc_sha,exp-dh-rsa-des-cbc-sha,no
tls_dhe_rsa_with_seed_cbc_sha,dhe-rsa-seed-sha,no
tls_dhe_rsa_with_des_cbc_sha,edh-rsa-des-cbc-sha,no
tls_dhe_rsa_with_chacha20_poly1305_sha256,,yes
tls_dhe_rsa_with_camellia_256_gcm_sha384,,yes
tls_dhe_rsa_with_camellia_256_cbc_sha256,,no
tls_dhe_rsa_with_camellia_256_cbc_sha,dhe-rsa-camellia256-sha,no
tls_dhe_rsa_with_camellia_128_gcm_sha256,,yes
tls_dhe_rsa_with_camellia_128_cbc_sha256,dhe-rsa-camellia128-sha256,no
tls_dhe_rsa_with_camellia_128_cbc_sha,dhe-rsa-camellia128-sha,no
tls_dhe_rsa_with_aria_256_gcm_sha384,,yes
tls_dhe_rsa_with_aria_256_cbc_sha384,,no
tls_dhe_rsa_with_aria_128_gcm_sha256,,yes
tls_dhe_rsa_with_aria_128_cbc_sha256,,no
tls_dhe_rsa_with_aes_256_gcm_sha384,dhe-rsa-aes256-gcm-sha384,yes
tls_dhe_rsa_with_aes_256_ccm_8,dhe-rsa-aes256-ccm8,yes
tls_dhe_rsa_with_aes_256_ccm,dhe-rsa-aes256-ccm,yes
tls_dhe_rsa_with_aes_256_cbc_sha256,dhe-rsa-aes256-sha256,no
tls_dhe_rsa_with_aes_256_cbc_sha,dhe-rsa-aes256-sha,no
tls_dhe_rsa_with_aes_128_gcm_sha256,dhe-rsa-aes128-gcm-sha256,yes
tls_dhe_rsa_with_aes_128_ccm_8,dhe-rsa-aes128-ccm8,yes
tls_dhe_rsa_with_aes_128_ccm,dhe-rsa-aes128-ccm,yes
tls_dhe_rsa_with_aes_128_cbc_sha256,dhe-rsa-aes128-sha256,no
tls_dhe_rsa_with_aes_128_cbc_sha,dhe-rsa-aes128-sha,no
tls_dhe_rsa_with_3des_ede_cbc_sha,edh-rsa-des-cbc3-sha,no
tls_dhe_rsa_export_with_des40_cbc_sha,exp-edh-rsa-des-cbc-sha,no
tls_dhe_psk_with_rc4_128_sha,,no
tls_dhe_psk_with_null_sha384,,no
tls_dhe_psk_with_null_sha256,,no
tls_dhe_psk_with_null_sha,dhe-psk-null-sha,no
tls_dhe_psk_with_chacha20_poly1305_sha256,,yes
tls_dhe_psk_with_camellia_256_gcm_sha384,,yes
tls_dhe_psk_with_camellia_256_cbc_sha384,dhe-psk-camellia256-sha384,no
tls_dhe_psk_with_camellia_128_gcm_sha256,,yes
tls_dhe_psk_with_camellia_128_cbc_sha256,dhe-psk-camellia128-sha256,no
tls_dhe_psk_with_aria_256_gcm_sha384,,yes
tls_dhe_psk_with_aria_256_cbc_sha384,,no
tls_dhe_psk_with_aria_128_gcm_sha256,,yes
tls_dhe_psk_with_aria_128_cbc_sha256,,no
tls_dhe_psk_with_aes_256_gcm_sha384,,yes
tls_dhe_psk_with_aes_256_ccm,dhe-psk-aes256-ccm,yes
tls_dhe_psk_with_aes_256_cbc_sha384,,no
tls_dhe_psk_with_aes_256_cbc_sha,,no
tls_dhe_psk_with_aes_128_gcm_sha256,,yes
tls_dhe_psk_with_aes_128_ccm,dhe-psk-aes128-ccm,yes
tls_dhe_psk_with_aes_128_cbc_sha256,,no
tls_dhe_psk_with_aes_128_cbc_sha,,no
tls_dhe_psk_with_3des_ede_cbc_sha,,no
tls_dhe_dss_with_seed_cbc_sha,dhe-dss-seed-sha,no
tls_dhe_dss_with_des_cbc_sha,edh-dss-des-cbc-sha,no
tls_dhe_dss_with_camellia_256_gcm_sha384,,yes
tls_dhe_dss_with_camellia_256_cbc_sha256,,no
tls_dhe_dss_with_camellia_256_cbc_sha,dhe-dss-camellia256-sha,no
tls_dhe_dss_with_camellia_128_gcm_sha256,,yes
tls_dhe_dss_with_camellia_128_cbc_sha256,dhe-dss-camellia128-sha256,no
tls_dhe_dss_with_camellia_128_cbc_sha,dhe-dss-camellia128-sha,no
tls_dhe_dss_with_aria_256_gcm_sha384,,yes
tls_dhe_dss_with_aria_256_cbc_sha384,,no
tls_dhe_dss_with_aria_128_gcm_sha256,,yes
tls_dhe_dss_with_aria_128_cbc_sha256,,no
tls_dhe_dss_with_aes_256_gcm_sha384,dhe-dss-aes256-gcm-sha384,yes
tls_dhe_dss_with_aes_256_cbc_sha256,dhe-dss-aes256-sha256,no
tls_dhe_dss_with_aes_256_cbc_sha,dhe-dss-aes256-sha,no
tls_dhe_dss_with_aes_128_gcm_sha256,dhe-dss-aes128-gcm-sha256,yes
tls_dhe_dss_with_aes_128_cbc_sha256,dhe-dss-aes128-sha256,no
tls_dhe_dss_with_aes_128_cbc_sha,dhe-dss-aes128-sha,no
tls_dhe_dss_with_3des_ede_cbc_sha,edh-dss-des-cbc3-sha,no
tls_dhe_dss_export_with_des40_cbc_sha,exp-edh-dss-des-cbc-sha,no
tls_dh_dss_with_seed_cbc_sha,dh-dss-seed-sha,no
tls_dh_dss_with_des_cbc_sha,dh-dss-des-cbc-sha,no
tls_dh_dss_with_camellia_256_gcm_sha384,,no
tls_dh_dss_with_camellia_256_cbc_sha256,,no
tls_dh_dss_with_camellia_256_cbc_sha,dh-dss-camellia256-sha,no
tls_dh_dss_with_camellia_128_gcm_sha256,,no
tls_dh_dss_with_camellia_128_cbc_sha256,dh-dss-camellia128-sha256,no
tls_dh_dss_with_camellia_128_cbc_sha,dh-dss-camellia128-sha,no
tls_dh_dss_with_aria_256_gcm_sha384,,no
tls_dh_dss_with_aria_256_cbc_sha384,,no
tls_dh_dss_with_aria_128_gcm_sha256,,no
tls_dh_dss_with_aria_128_cbc_sha256,,no
tls_dh_dss_with_aes_256_gcm_sha384,dh-dss-aes256-gcm-sha384,no
tls_dh_dss_with_aes_256_cbc_sha256,dh-dss-aes256-sha256,no
tls_dh_dss_with_aes_256_cbc_sha,dh-dss-aes256-sha,no
tls_dh_dss_with_aes_128_gcm_sha256,dh-dss-aes128-gcm-sha256,no
tls_dh_dss_with_aes_128_cbc_sha256,dh-dss-aes128-sha256,no
tls_dh_dss_with_aes_128_cbc_sha,dh-dss-aes128-sha,no
tls_dh_dss_with_3des_ede_cbc_sha,dh-dss-des-cbc3-sha,no
tls_dh_dss_export_with_des40_cbc_sha,exp-dh-dss-des-cbc-sha,no
tls_dh_anon_with_seed_cbc_sha,adh-seed-sha,no
tls_dh_anon_with_rc4_128_md5,adh-rc4-md5,no
tls_dh_anon_with_des_cbc_sha,adh-des-cbc-sha,no
tls_dh_anon_with_camellia_256_gcm_sha384,,no
tls_dh_anon_with_camellia_256_cbc_sha256,,no
tls_dh_anon_with_camellia_256_cbc_sha,adh-camellia256-sha,no
tls_dh_anon_with_camellia_128_gcm_sha256,,no
tls_dh_anon_with_camellia_128_cbc_sha256,adh-camellia128-sha256,no
tls_dh_anon_with_camellia_128_cbc_sha,adh-camellia128-sha,no
tls_dh_anon_with_aria_256_gcm_sha384,,no
tls_dh_anon_with_aria_256_cbc_sha384,,no
tls_dh_anon_with_aria_128_gcm_sha256,,no
tls_dh_anon_with_aria_128_cbc_sha256,,no
tls_dh_anon_with_aes_256_gcm_sha384,adh-aes256-gcm-sha384,no
tls_dh_anon_with_aes_256_cbc_sha256,adh-aes256-sha256,no
tls_dh_anon_with_aes_256_cbc_sha,adh-aes256-sha,no
tls_dh_anon_with_aes_128_gcm_sha256,adh-aes128-gcm-sha256,no
tls_dh_anon_with_aes_128_cbc_sha256,adh-aes128-sha256,no
tls_dh_anon_with_aes_128_cbc_sha,adh-aes128-sha,no
tls_dh_anon_with_3des_ede_cbc_sha,adh-des-cbc3-sha,no
tls_dh_anon_export_with_rc4_40_md5,exp-adh-rc4-md5,no
tls_dh_anon_export_with_des40_cbc_sha,exp-adh-des-cbc-sha,no
tls_chacha20_poly1305_sha256,tls_chacha20_poly1305_sha256,yes
tls_aes_256_gcm_sha384,tls_aes_256_gcm_sha384,yes
tls_aes_128_gcm_sha256,tls_aes_128_gcm_sha256,no
tls_aes_128_ccm_sha256,tls_aes_128_ccm_sha256,yes
tls_aes_128_ccm_8_sha256,tls_aes_128_ccm_8_sha256,yes
